,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
1657,NonResidential,Medical Office,98125.0,2926049266,5,NORTH,47.70676,-122.32264,1.0,3,28841,Medical Office,55.0,1459199.75,33.42,28,0.0,0.0,0.0,0.0
1658,NonResidential,Self-Storage Facility,98125.0,2926049287,5,NORTH,47.70782,-122.31873,2.0,2,33344,Self-Storage Facility,,123767.2031,0.86,39,0.0,0.9695770467474647,0.030422953252535245,0.0
1659,Nonresidential COS,Other,98125.0,2926049431,5,NORTH,47.70541,-122.32232,2.0,1,30498,Other - Recreation,,2436063.0,80.19,11,0.0,0.0,0.0,0.0
1664,NonResidential,K-12 School,98106.0,3004800005,1,DELRIDGE,47.51698,-122.35946,1.0,2,42975,K-12 School,92.0,959352.0,42.96,92,0.0,0.0,0.0,0.0
1666,NonResidential,Other,98108.0,3024049018,1,DELRIDGE,47.53366,-122.33733,1.0,1,23260,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,1612105.75,52.41,53,0.0,0.0,0.0,0.0
1668,NonResidential,Small- and Mid-Sized Office,98106.0,3024049026,1,DELRIDGE,47.53309,-122.33977,1.0,2,30659,Office,88.0,2619088.5,55.85,28,0.0,0.7530939226519338,0.23903314917127072,0.00787292817679558
1669,NonResidential,Other,98109.0,3025049004,7,MAGNOLIA / QUEEN ANNE,47.63132,-122.34136,1.0,2,27144,Other,,1012024.313,32.58,96,0.0,0.0,0.0,0.0
1670,NonResidential,Other,98133.0,3026049008,5,NORTHWEST,47.70969,-122.34557,5.0,1,23166,Other,,3475804.25,184.6,46,0.0,0.0,0.0,0.0
1671,NonResidential,Medical Office,98133.0,3026049025,5,NORTHWEST,47.70558,-122.33486,1.0,2,34759,Medical Office,81.0,1633105.375,11.39,37,0.0,0.0,0.0,0.0
1672,NonResidential,Hospital,98133.0,3026049130,5,NORTHWEST,47.71425,-122.33689,8.0,1,415632,Hospital (General Medical & Surgical),85.0,98960776.0,3278.11,50,0.0,0.0,0.0,0.0
1675,NonResidential,Worship Facility,98133.0,3034200285,5,NORTHWEST,47.71745,-122.33221,1.0,2,44719,Worship Facility,,1614026.25,53.21,51,0.0,0.9583141986390014,0.021396067298459484,0.02028973406253914
1678,NonResidential,Supermarket / Grocery Store,98144.0,3086003145,2,GREATER DUWAMISH,47.57894,-122.31287,1.0,1,21603,Supermarket/Grocery Store,16.0,5833800.0,129.89,51,0.0,0.0,0.0,0.0
1690,NonResidential,Medical Office,98112.0,3117000005,3,EAST,47.62014,-122.31228,1.0,3,591981,Medical Office,60.0,102673696.0,3238.24,52,0.0,0.6071716207288576,0.3296130205500398,0.06321535872110261
1691,NonResidential,Distribution Center,98108.0,3124049001,1,DELRIDGE,47.53158,-122.33568,1.0,1,42900,Distribution Center,53.0,436252.5,3.04,37,0.0,0.0,0.0,0.0
1692,Campus,Other,98108.0,3124049024,1,DELRIDGE,47.51885,-122.33421,5.0,1,57952,Adult Education,,3091387.5,96.15,11,0.0,0.0,0.0,0.0
1693,NonResidential,Other,98108.0,3124049151,1,DELRIDGE,47.52956,-122.33592,1.0,1,26232,Other - Services,,3094090.0,122.71,45,0.0,0.0,0.0,0.0
1698,NonResidential,Warehouse,98144.0,8170100350,3,DOWNTOWN,47.59783,-122.31554,1.0,2,25840,Non-Refrigerated Warehouse,92.0,313528.0938,2.19,60,0.0,0.0,0.0,0.0
1699,NonResidential,Small- and Mid-Sized Office,98144.0,8170100415,2,DOWNTOWN,47.59721,-122.31838,1.0,1,45145,Office,,1268459.0,43.63,28,0.0,0.0,0.0,0.0
1701,NonResidential,Small- and Mid-Sized Office,98144.0,8170100455,3,DOWNTOWN,47.59728,-122.31587,1.0,5,70332,Office,89.0,1981115.25,19.12,15,0.31415287493601773,0.0,0.0,0.0
1726,NonResidential,Supermarket / Grocery Store,98117.0,7589200051,6,BALLARD,47.6899,-122.37619,1.0,1,45522,Supermarket/Grocery Store,22.0,12250422.0,326.74,22,0.0,0.0,0.0,0.0
1727,NonResidential,Retail Store,98133.0,7608700007,5,NORTHWEST,47.72286,-122.34612,1.0,2,20088,Retail Store,,326778.6875,2.28,37,0.0,0.8004778972520908,0.17423337315810433,0.025288729589804857
1732,Campus,Other,98134.0,7666701220,1,GREATER DUWAMISH,47.57049,-122.34857,5.0,2,138907,Other,,7837692.5,179.55,27,0.0,0.0,0.0,0.0
