,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Age,prop_GFAParking,prop_Use1,prop_Use2,prop_Use3
0,NonResidential,Hotel,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33799,1.0,12,88434,Hotel,60.0,7226362.5,249.98,89,0.0,0.0,0.0,0.0
1,NonResidential,Hotel,98101.0,0659000220,7,DOWNTOWN,47.61317,-122.33393,1.0,11,103566,Hotel,61.0,8387933.0,295.86,20,0.1454531409922175,0.8099183129598517,0.1454531409922175,0.04462854604793079
2,NonResidential,Hotel,98101.0,0659000475,7,DOWNTOWN,47.61393,-122.3381,1.0,41,956110,Hotel,43.0,72587024.0,2089.28,47,0.20574829256047944,0.0,0.0,0.0
3,NonResidential,Hotel,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33664,1.0,10,61320,Hotel,56.0,6794584.0,286.43,90,0.0,0.0,0.0,0.0
4,NonResidential,Hotel,98121.0,0659000970,7,DOWNTOWN,47.61375,-122.34047,1.0,18,175580,Hotel,75.0,14172606.0,505.01,36,0.3531153889964688,0.6447762909106104,0.3552237090893896,0.0
5,Nonresidential COS,Other,98101.0,0660000560,7,DOWNTOWN,47.61623,-122.33657,1.0,2,97288,Police Station,,12086616.0,301.81,17,0.382349313378834,0.0,0.0,0.0
6,NonResidential,Hotel,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1.0,11,83008,Hotel,27.0,5758795.0,176.14,90,0.0,0.0,0.0,0.0
7,NonResidential,Other,98101.0,0660000955,7,DOWNTOWN,47.61327,-122.33136,1.0,8,102761,Other - Entertainment/Public Assembly,,6298131.5,221.51,90,0.0,0.0,0.0,0.0
8,NonResidential,Hotel,98104.0,0939000080,7,DOWNTOWN,47.60294,-122.33263,1.0,15,163984,Hotel,43.0,13723820.0,392.16,112,0.0,0.0,0.0,0.0
10,NonResidential,Hotel,98101.0,0942000145,7,DOWNTOWN,47.60695,-122.33414,1.0,11,153163,Hotel,30.0,16016644.0,691.26,47,0.12587243655452035,0.0,0.0,0.0
11,NonResidential,Hotel,98101.0,0942000165,7,DOWNTOWN,47.60713,-122.33323,1.0,25,333176,Hotel,36.0,26941110.0,740.97,18,0.18356964487237976,0.0,0.0,0.0
12,NonResidential,Hotel,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1.0,9,65009,Hotel,48.0,6596057.5,328.23,88,0.0,0.0,0.0,0.0
13,NonResidential,Hotel,98101.0,0942000235,7,DOWNTOWN,47.60809,-122.33212,1.0,33,315952,Hotel,58.0,22325364.0,648.62,36,0.18230617308958322,0.0,0.0,0.0
14,NonResidential,Hotel,98101.0,0942000265,7,DOWNTOWN,47.60755,-122.33244,1.0,11,92190,Hotel,35.0,10750010.0,511.39,94,0.2733485193621868,0.0,0.0,0.0
15,Nonresidential COS,Other,98154.0,0942000275,7,DOWNTOWN,47.60649,-122.33297,1.0,11,412000,Library,,18588860.0,181.38,12,0.1383495145631068,0.8793359791993484,0.11807598792251324,0.002588032878138351
16,NonResidential,Other,98104.0,0942000350,7,DOWNTOWN,47.60546,-122.33279,1.0,6,103911,Fitness Center/Health Club/Gym,,9956396.0,433.86,86,0.0,0.6923076923076923,0.3076923076923077,0.0
17,NonResidential,Hotel,98104.0,0942000430,7,DOWNTOWN,47.60681,-122.33078,1.0,28,416281,Hotel,31.0,33556756.0,802.89,33,0.20418899733593415,0.0,0.0,0.0
18,NonResidential,Mixed Use Property,98104.0,0942000510,7,DOWNTOWN,47.60515,-122.33159,1.0,5,57452,Social/Meeting Hall,,7606084.5,273.02,109,0.0,0.39440606409518325,0.37192957205910576,0.233664363845711
19,NonResidential,Hotel,98104.0,0942000610,7,DOWNTOWN,47.60376,-122.33194,1.0,10,104352,Hotel,39.0,10154608.0,349.32,100,0.0,0.0,0.0,0.0
20,NonResidential,Other,98104.0,0942000860,7,DOWNTOWN,47.60265,-122.33051,1.0,10,540360,Courthouse,76.0,44984468.0,1265.29,100,0.0,0.0,0.0,0.0
21,NonResidential,Other,98104.0,0942001010,3,DOWNTOWN,47.60378,-122.32842,1.0,19,385274,Other,,47859812.0,1699.45,31,0.0,0.0,0.0,0.0
23,NonResidential,Hotel,98105.0,1142000755,4,NORTHEAST,47.65959,-122.31755,1.0,6,88592,Hotel,84.0,3663534.5,90.01,15,0.34524562037204265,0.0,0.0,0.0
24,NonResidential,University,98121.0,0660001420,7,DOWNTOWN,47.61816,-122.33629,1.0,7,126593,College/University,,11343686.0,388.04,88,0.0,0.0,0.0,0.0
25,NonResidential,Other,98101.0,0660001725,7,DOWNTOWN,47.615,-122.33081,1.0,2,67224,Automobile Dealership,,1310236.625,9.13,86,0.0,0.0,0.0,0.0
26,NonResidential,Hotel,98101.0,0660001832,7,EAST,47.61301,-122.32929,1.0,8,158676,Hotel,,5328051.5,256.57,25,0.19096145604880385,0.7078705332462181,0.2638588731969644,0.02827059355681761
27,NonResidential,Hotel,98101.0,0660002680,7,DOWNTOWN,47.61784,-122.32966,1.0,10,171866,Hotel,57.0,11061916.0,328.63,15,0.22273748152630538,0.0,0.0,0.0
29,NonResidential,Hotel,98121.0,0697000170,7,DOWNTOWN,47.61558,-122.34186,1.0,5,68410,Hotel,57.0,4456714.5,128.44,38,0.2368074842859231,0.0,0.0,0.0
32,NonResidential,Small- and Mid-Sized Office,98070.0,0825049008,4,LAKE UNION,47.6641,-122.33118,1.0,3,87262,Office,,4145920.5,157.77,110,0.0,0.6457580871567592,0.2863113732788669,0.06793053956437392
33,NonResidential,Hotel,98105.0,0925049117,4,NORTHEAST,47.66583,-122.29965,1.0,4,81871,Hotel,29.0,6668568.5,215.0,22,0.0,0.0,0.0,0.0
34,NonResidential,Self-Storage Facility,98105.0,0925049330,4,NORTHEAST,47.66172,-122.29598,1.0,2,110356,Self-Storage Facility,,318364.8125,3.93,61,0.0,0.0,0.0,0.0
35,Campus,Mixed Use Property,98108.0,0022000005,2,GREATER DUWAMISH,47.53493,-122.31788,1.0,3,494835,Office,8.0,448385312.0,16870.98,24,0.0,0.40772583273819335,0.34465930524272553,0.24761486201908112
36,NonResidential,Warehouse,98118.0,0323049024,2,GREATER DUWAMISH,47.51138,-122.28875,3.0,2,714095,Non-Refrigerated Warehouse,,44731160.0,311.84,55,0.0,0.6396677050882659,0.2866043613707165,0.07372793354101766
37,SPS-District K-12,K-12 School,98199.0,0369000400,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1.0,2,54986,K-12 School,97.0,1650279.25,31.47,26,0.0,0.0,0.0,0.0
39,NonResidential,Small- and Mid-Sized Office,98107.0,0467000429,6,BALLARD,47.66587,-122.38476,1.0,2,94900,Office,57.0,6186461.5,130.56,55,0.0,0.0,0.0,0.0
40,NonResidential,Small- and Mid-Sized Office,98144.0,0570000340,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,52554,Office,83.0,2951331.25,83.86,116,0.0,0.0,0.0,0.0
41,NonResidential,K-12 School,98103.0,0625049002,6,NORTHWEST,47.68891,-122.33553,1.0,3,175015,K-12 School,95.0,6994740.5,247.85,62,0.0,0.0,0.0,0.0
42,NonResidential,Self-Storage Facility,98121.0,0653000225,7,DOWNTOWN,47.61351,-122.35129,1.0,3,70586,Self-Storage Facility,,2158629.0,45.43,105,0.0,0.5452727143769062,0.3999858145967799,0.05474147102631392
43,NonResidential,Hotel,98101.0,1975700040,7,DOWNTOWN,47.60946,-122.33337,1.0,24,332210,Hotel,67.0,16163194.0,295.33,47,0.6199993979711628,0.0,0.0,0.0
44,NonResidential,Large Office,98101.0,1975700200,7,DOWNTOWN,47.6113,-122.33659,1.0,5,168115,Office,78.0,9536161.0,66.48,43,0.0,0.6096938023134412,0.38739817496505063,0.0029080227215081606
45,NonResidential,Other,98101.0,1975700365,7,DOWNTOWN,47.61076,-122.33765,1.0,2,57428,Other - Mall,,1247362.0,33.26,96,0.0,0.0,0.0,0.0
46,NonResidential,Small- and Mid-Sized Office,98101.0,1975700380,7,DOWNTOWN,47.61048,-122.33794,1.0,8,59400,Office,14.0,5071974.0,35.36,106,0.0,0.0,0.0,0.0
47,NonResidential,Mixed Use Property,98101.0,1975700525,7,DOWNTOWN,47.60886,-122.33744,1.0,2,52549,Other - Entertainment/Public Assembly,,15026196.0,584.31,90,0.0,0.4479688899902781,0.4479688899902781,0.10406222001944376
48,NonResidential,Hotel,98101.0,1976700010,7,DOWNTOWN,47.61233,-122.33432,1.0,20,98634,Hotel,71.0,4841347.5,59.19,86,0.10182087312691364,0.8474866678832856,0.10182087312691364,0.050692458989800675
49,NonResidential,Hotel,98101.0,1976700095,7,DOWNTOWN,47.61087,-122.33339,1.0,34,994212,Hotel,63.0,80469216.0,2451.58,34,0.14754800786954894,0.8941720329531964,0.10582796704680361,0.0
50,NonResidential,Hotel,98101.0,1977200050,7,DOWNTOWN,47.60997,-122.34138,1.0,7,71150,Hotel,98.0,5348309.0,134.38,31,0.0,0.6392058632526209,0.2122955128799827,0.14849862386739648
51,NonResidential,Hotel,98101.0,1977201035,7,DOWNTOWN,47.61155,-122.34114,1.0,7,122810,Hotel,99.0,5401277.5,227.18,108,0.0,0.7194853839263904,0.21537334093314878,0.06514127514046088
52,NonResidential,Hotel,98109.0,1991200730,7,LAKE UNION,47.61986,-122.34413,1.0,5,113173,Hotel,86.0,5284343.5,144.79,57,0.3759377236620042,0.0,0.0,0.0
53,NonResidential,Hotel,98109.0,1991200935,7,LAKE UNION,47.62001,-122.34274,1.0,7,150453,Hotel,84.0,6715187.0,199.95,16,0.23086944095498263,0.0,0.0,0.0
54,NonResidential,Hotel,98109.0,1991200940,7,LAKE UNION,47.62025,-122.34314,1.0,6,116300,Hotel,80.0,5827595.5,162.39,19,0.24247635425623387,0.0,0.0,0.0
55,NonResidential,Hotel,98119.0,1992200235,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1.0,6,155602,Hotel,81.0,6836900.0,152.76,18,0.23614092363851363,0.0,0.0,0.0
56,NonResidential,K-12 School,98136.0,2125049015,3,EAST,47.63442,-122.30793,1.0,3,56072,K-12 School,76.0,3234787.75,146.34,105,0.0,0.0,0.0,0.0
57,NonResidential,Hotel,98109.0,2249000170,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1.0,4,122942,Hotel,94.0,5337334.0,171.64,17,0.36513965935156417,0.0,0.0,0.0
58,NonResidential,Small- and Mid-Sized Office,98122.0,2254501944,3,CENTRAL,47.60823,-122.30956,1.0,2,54984,Office,71.0,3375211.0,87.98,54,0.0,0.0,0.0,0.0
59,NonResidential,Senior Care Community,98126.0,2324039001,1,SOUTHWEST,47.55837,-122.37751,1.0,5,217603,Senior Care Community,54.0,42792072.0,1727.11,94,0.0,0.0,0.0,0.0
60,NonResidential,Senior Care Community,98133.0,2426039059,5,NORTHWEST,47.72426,-122.35599,1.0,2,93397,Senior Care Community,1.0,16402563.0,609.1,46,0.0,0.0,0.0,0.0
61,NonResidential,Hotel,98109.0,2467400430,7,LAKE UNION,47.61988,-122.33211,1.0,6,84103,Hotel,74.0,3706100.25,67.06,8,0.2465072589562798,0.0,0.0,0.0
63,NonResidential,Medical Office,98122.0,1978201270,3,EAST,47.61244,-122.3214,0.0,3,179014,Medical Office,48.0,16701055.0,430.84,51,0.0,0.0,0.0,0.0
64,NonResidential,Hotel,98104.0,1979200270,3,EAST,47.60898,-122.32693,1.0,7,76631,Hotel,71.0,7258758.5,262.75,108,0.0,0.0,0.0,0.0
65,NonResidential,Mixed Use Property,98104.0,1979200290,3,EAST,47.60845,-122.32637,1.0,6,99780,Medical Office,,15473117.0,481.97,33,0.09361595510122268,0.5146422074761088,0.2673259716635495,0.21803182086034179
66,NonResidential,Retail Store,98109.0,1983200230,7,LAKE UNION,47.62237,-122.33805,1.0,2,58320,Retail Store,96.0,1049748.625,39.06,87,0.0,0.0,0.0,0.0
67,NonResidential,Large Office,98109.0,1983200325,7,LAKE UNION,47.62424,-122.33646,1.0,5,316306,Office,96.0,13795954.0,138.85,6,0.0,0.6121849653137429,0.3524179840118216,0.035397050674435514
68,NonResidential,Hotel,98109.0,1984200065,3,LAKE UNION,47.62642,-122.33325,1.0,7,282863,Hotel,37.0,19459304.0,526.85,26,0.15826035925518714,0.0,0.0,0.0
69,Nonresidential COS,Other,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,389000,Other,,23658978.0,607.41,54,0.0,0.0,0.0,0.0
70,Nonresidential COS,Other,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,1,91213,Other,,8141155.5,344.2,54,0.0,0.0,0.0,0.0
71,Nonresidential COS,Other,98109.0,1985200305,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1.0,5,396085,Other,,20955026.0,804.2,78,0.0,0.0,0.0,0.0
72,NonResidential,Large Office,98109.0,1986200410,7,LAKE UNION,47.62112,-122.33629,1.0,12,571329,Office,91.0,39605888.0,617.52,6,0.0,0.6399477184533982,0.3320487376870652,0.028003543859536628
73,Nonresidential COS,Other,98109.0,1988200440,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,2,52000,Other,,2726369.0,101.83,54,0.0,0.0,0.0,0.0
74,Nonresidential COS,Other,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1.0,1,60696,Other,,875943.3125,6.11,88,0.0,0.0,0.0,0.0
75,Nonresidential COS,Other,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1.0,2,262048,Other,,20723248.0,490.73,88,0.0,0.0,0.0,0.0
76,NonResidential,Small- and Mid-Sized Office,98109.0,1988200705,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,0.0,2,66240,Office,,4166306.25,29.04,30,0.035507246376811595,0.8250647109577222,0.09312985332182916,0.08180543572044867
77,NonResidential,Large Office,98109.0,1988201155,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,1.0,6,920598,Office,93.0,36667044.0,674.09,6,0.3299018681335393,0.7925109548358784,0.20097154241047666,0.0065175027536449135
78,NonResidential,Small- and Mid-Sized Office,98033.0,1989200850,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1.0,4,76213,Office,68.0,3476212.5,48.76,46,0.3402306693083857,0.6704692981244649,0.29630141148523603,0.03322929039029915
79,NonResidential,Hotel,98109.0,1989201125,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,1.0,6,96910,Hotel,56.0,5155568.5,152.14,14,0.3811164998452172,0.0,0.0,0.0
80,NonResidential,Hotel,98105.0,1142001871,4,NORTHEAST,47.65772,-122.31756,2.0,4,50017,Hotel,53.0,5448975.0,191.2,54,0.0,0.0,0.0,0.0
82,NonResidential,K-12 School,98112.0,1336800825,3,EAST,47.62548,-122.30828,1.0,3,67743,K-12 School,34.0,2646879.0,78.85,93,0.0,0.0,0.0,0.0
83,NonResidential,K-12 School,98112.0,1338800660,3,EAST,47.62644,-122.30429,1.0,6,194104,K-12 School,100.0,6219841.5,243.23,108,0.0,0.0,0.0,0.0
84,NonResidential,Small- and Mid-Sized Office,98144.0,1498303116,3,SOUTHEAST,47.58408,-122.30125,1.0,3,99433,Office,63.0,4897760.0,34.14,13,0.35955869781662025,0.0,0.0,0.0
89,NonResidential,Other,98115.0,1797500625,4,NORTHEAST,47.67524,-122.31534,1.0,4,56521,Other,,6357632.0,44.32,75,0.0,0.0,0.0,0.0
90,NonResidential,Other,98115.0,1797500715,4,NORTHEAST,47.67559,-122.31769,1.0,2,206934,Other,,4253577.5,133.58,87,0.0,0.0,0.0,0.0
91,NonResidential,Hotel,98133.0,1926049012,5,NORTHWEST,47.73141,-122.3458,1.0,4,51390,Hotel,89.0,3611538.0,127.29,15,0.0,0.0,0.0,0.0
93,SPS-District K-12,K-12 School,98133.0,1926049321,5,NORTHWEST,47.7257,-122.33684,1.0,1,245587,K-12 School,92.0,11765682.0,443.73,57,0.0,0.0,0.0,0.0
94,NonResidential,Hotel,98133.0,1926049434,5,NORTHWEST,47.72551,-122.3423,1.0,3,69138,Hotel,78.0,3242458.0,89.02,14,0.0,0.0,0.0,0.0
96,NonResidential,Hotel,98104.0,1974600035,7,DOWNTOWN,47.6048,-122.3368,1.0,5,190980,Hotel,98.0,6505995.0,142.39,112,0.0,0.0,0.0,0.0
97,Nonresidential COS,Other,98111.0,1974700025,7,DOWNTOWN,47.60804,-122.3367,1.0,6,284100,Other - Entertainment/Public Assembly,,14641502.0,429.12,18,0.0,0.0,0.0,0.0
98,NonResidential,Hospital,98107.0,2767703875,6,BALLARD,47.66737,-122.37956,4.0,5,285333,Hospital (General Medical & Surgical),14.0,68090728.0,1990.5,62,0.0,0.0,0.0,0.0
100,Nonresidential COS,Other,98104.0,5247801465,2,DOWNTOWN,47.60112,-122.32785,1.0,4,61156,Other,,9363374.0,176.75,10,0.0,0.0,0.0,0.0
101,NonResidential,Other,98104.0,5247802715,2,DOWNTOWN,47.59809,-122.32283,1.0,4,72820,Museum,,2010454.625,46.26,106,0.1897830266410327,0.0,0.0,0.0
102,NonResidential,Hotel,98109.0,5458300285,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1.0,4,162222,Hotel,76.0,7946961.0,228.4,20,0.08753436648543354,0.0,0.0,0.0
104,NonResidential,University,98122.0,6003000470,3,EAST,47.61495,-122.32177,1.0,3,63330,College/University,,3059758.0,74.33,101,0.0,0.0,0.0,0.0
105,Campus,University,98106.0,6171900005,1,DELRIDGE,47.547,-122.35307,27.0,2,441071,College/University,,38301744.0,866.23,46,0.0,0.0,0.0,0.0
106,NonResidential,Small- and Mid-Sized Office,98115.0,6418100005,4,NORTHEAST,47.67828,-122.26456,1.0,2,96300,Office,,16319835.0,222.02,14,0.0,0.0,0.0,0.0
107,Nonresidential COS,Other,98134.0,6834700175,2,GREATER DUWAMISH,47.59545,-122.32146,1.0,1,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,7475577.5,204.08,66,0.0,0.0,0.0,0.0
112,NonResidential,Small- and Mid-Sized Office,98118.0,7378600265,2,GREATER DUWAMISH,47.53827,-122.28406,1.0,1,54765,Office,,4253369.5,61.21,58,0.0,0.0,0.0,0.0
113,NonResidential,Other,98118.0,7378600265,2,GREATER DUWAMISH,47.53722,-122.284,1.0,5,89821,Other - Lodging/Residential,,1950092.5,100.46,7,0.0,0.5222808988764045,0.4262696629213483,0.05144943820224719
114,NonResidential,University,98119.0,7443000070,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1.0,2,52611,College/University,,4116871.5,104.26,36,0.0,0.0,0.0,0.0
115,NonResidential,Residence Hall,98119.0,7443000375,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,1.0,4,139600,Residence Hall/Dormitory,89.0,4448582.5,129.39,15,0.2686246418338109,0.0,0.0,0.0
116,SPS-District K-12,K-12 School,98125.0,2826049152,5,NORTH,47.70763,-122.29453,1.0,2,236758,K-12 School,96.0,8355988.5,222.78,5,0.0,0.0,0.0,0.0
117,NonResidential,Other,98122.0,2908700085,3,CENTRAL,47.60462,-122.31549,3.0,6,250981,Other,,13071700.0,422.39,45,0.0,0.0,0.0,0.0
119,NonResidential,Other,98101.0,0660001215,7,DOWNTOWN,47.61598,-122.33448,1.0,11,299070,Other,,65336980.0,2055.82,12,0.22881599625505736,0.0,0.0,0.0
120,NonResidential,Small- and Mid-Sized Office,98108.0,2924049043,2,GREATER DUWAMISH,47.536,-122.31768,1.0,3,64015,Office,21.0,3242077.75,49.58,9,0.0,0.5554012774229381,0.27770063871146905,0.16689808386559288
121,NonResidential,Retail Store,98125.0,2926049025,5,NORTH,47.70759,-122.3255,1.0,1,530039,Retail Store,98.0,27717034.0,723.47,65,0.0,0.0,0.0,0.0
122,NonResidential,Other,98125.0,2926049409,5,NORTH,47.7066,-122.321,1.0,3,54224,Other/Specialty Hospital,,7265178.0,231.53,52,0.0,0.0,0.0,0.0
123,NonResidential,Retail Store,98125.0,2926049528,5,NORTH,47.70619,-122.32586,1.0,4,124342,Retail Store,76.0,8765978.0,66.3,51,0.0,0.0,0.0,0.0
124,NonResidential,Hospital,98105.0,2982800005,4,NORTHEAST,47.66231,-122.28146,6.0,10,879000,Hospital (General Medical & Surgical),10.0,253832464.0,8145.52,63,0.0,0.0,0.0,0.0
125,NonResidential,Other,98133.0,3026049024,5,NORTHWEST,47.70956,-122.3345,1.0,3,55442,Financial Office,72.0,3191228.25,83.7,20,0.0,0.5437387259090477,0.2921294977689167,0.16413177632203552
127,NonResidential,Self-Storage Facility,98122.0,3225049002,3,EAST,47.61233,-122.3171,1.0,5,84870,Self-Storage Facility,,1381590.125,51.11,106,0.0,0.0,0.0,0.0
128,Campus,University,98103.0,3226049021,5,NORTHWEST,47.69936,-122.33401,11.0,2,694072,College/University,,35891484.0,362.82,46,0.16082625433672587,0.0,0.0,0.0
131,NonResidential,Warehouse,98108.0,3466800065,2,GREATER DUWAMISH,47.55152,-122.31869,1.0,4,114297,Non-Refrigerated Warehouse,61.0,2100097.75,69.44,112,0.0,0.0,0.0,0.0
134,NonResidential,Warehouse,98134.0,3573700006,2,GREATER DUWAMISH,47.55901,-122.33328,1.0,1,234144,Non-Refrigerated Warehouse,87.0,6744317.0,297.43,79,0.0,0.0,0.0,0.0
135,NonResidential,Retail Store,98126.0,3624039009,1,DELRIDGE,47.52254,-122.36627,1.0,1,64984,Retail Store,72.0,2944296.25,35.78,50,0.0,0.0,0.0,0.0
136,NonResidential,Retail Store,98126.0,3624039009,1,DELRIDGE,47.52254,-122.36627,1.0,1,67745,Retail Store,37.0,9230223.0,369.14,51,0.0,0.0,0.0,0.0
137,SPS-District K-12,K-12 School,98126.0,3624039032,1,DELRIDGE,47.52915,-122.36511,1.0,2,367884,K-12 School,97.0,12265516.0,272.85,6,0.0,0.0,0.0,0.0
140,NonResidential,Other,98117.0,3693901110,6,BALLARD,47.67767,-122.39631,1.0,3,56000,Other,,1851260.5,59.34,43,0.0,0.0,0.0,0.0
142,NonResidential,Self-Storage Facility,98126.0,3874900040,1,SOUTHWEST,47.54508,-122.37737,1.0,2,52088,Self-Storage Facility,,1377519.5,48.99,47,0.0,0.0,0.0,0.0
144,NonResidential,Hotel,98109.0,4088802955,3,LAKE UNION,47.62972,-122.32906,1.0,5,123920,Hotel,79.0,9373179.0,309.6,18,0.2420916720464816,0.8050935550935551,0.1949064449064449,0.0
145,Nonresidential COS,Other,98109.0,4088803210,3,LAKE UNION,47.62759,-122.33661,1.0,1,50000,Museum,,7548807.0,225.69,116,0.0,0.0,0.0,0.0
146,Nonresidential COS,Warehouse,98109.0,4088803530,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1.0,2,50292,Non-Refrigerated Warehouse,,430473.6875,3.0,90,0.0,0.8131541046567451,0.09601536245799328,0.09083053288526165
147,NonResidential,Hotel,98109.0,4088803586,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1.0,7,207656,Hotel,76.0,11171988.0,338.16,18,0.2616875987209616,0.0,0.0,0.0
149,Nonresidential COS,Small- and Mid-Sized Office,98103.0,4310701070,5,NORTHWEST,47.70044,-122.34136,1.0,2,91130,Office,,9472358.0,175.77,59,0.0,0.5644456129076233,0.3201686481854741,0.1153857389069027
151,NonResidential,Hotel,98133.0,4468400005,5,NORTHWEST,47.70916,-122.33216,1.0,4,64893,Hotel,70.0,6197825.0,208.26,48,0.0,0.0,0.0,0.0
154,NonResidential,Small- and Mid-Sized Office,98104.0,5247800030,7,DOWNTOWN,47.60105,-122.33518,1.0,3,44558,Office,78.0,1677002.25,28.27,116,0.0,0.7723865523587234,0.17218007989586606,0.055433367745410474
155,NonResidential,Other,98134.0,7666204876,2,GREATER DUWAMISH,47.59544,-122.33159,1.0,6,1585960,Other - Entertainment/Public Assembly,,59757440.0,892.63,17,0.20661302933239173,0.0,0.0,0.0
156,Nonresidential COS,Distribution Center,98134.0,7666205660,2,GREATER DUWAMISH,47.57199,-122.32811,1.0,2,179161,Distribution Center,,9436408.0,96.43,92,0.0,0.651413995785738,0.20694798713541088,0.14163801707885107
157,Nonresidential COS,Warehouse,98134.0,7666205660,2,GREATER DUWAMISH,47.57199,-122.32811,1.0,2,58640,Non-Refrigerated Warehouse,,3928695.25,27.39,51,0.0,0.5909058018205763,0.2421887436865946,0.16690545449282912
158,NonResidential,Other,98134.0,7666206483,2,GREATER DUWAMISH,47.59085,-122.33354,1.0,3,1172127,Other - Entertainment/Public Assembly,,58761304.0,1246.55,17,0.0,0.0,0.0,0.0
159,NonResidential,Hotel,98134.0,7666206720,2,GREATER DUWAMISH,47.59269,-122.33372,1.0,9,168449,Hotel,64.0,12726789.0,388.37,11,0.08647721268751966,0.8191018189319387,0.12498331533411802,0.05591486573394328
160,NonResidential,Warehouse,98134.0,7666703020,1,GREATER DUWAMISH,47.57507,-122.35747,0.0,4,79600,Non-Refrigerated Warehouse,34.0,2411402.25,16.81,100,0.0,0.0,0.0,0.0
162,Campus,Large Office,98108.0,7883608601,1,GREATER DUWAMISH,47.52429,-122.31234,14.0,2,334368,Office,,53466684.0,748.55,36,0.09532610776150828,0.7286801546960657,0.2206233199178744,0.050696525386059815
163,NonResidential,Other,98125.0,8632880000,5,NORTH,47.70281,-122.32532,1.0,6,419848,Parking,,9134963.0,162.41,8,0.7981674320230179,0.8100760015084268,0.15712780050087508,0.03279619799069804
164,NonResidential,Mixed Use Property,98119.0,8681450000,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,1.0,4,110785,Multifamily Housing,,10557910.0,92.91,14,0.0,0.4277106673872716,0.3543623376813076,0.21792699493142081
166,NonResidential,Hotel,98101.0,6792120000,7,DOWNTOWN,47.61275,-122.3333,1.0,0,934292,Hotel,,65047284.0,1638.46,17,0.0,0.5035975902243107,0.445893869055846,0.05050854071984325
167,NonResidential,Hospital,98122.0,7942600331,3,CENTRAL,47.60705,-122.30966,6.0,5,597519,Hospital (General Medical & Surgical),34.0,143423024.0,4906.33,26,0.0,0.0,0.0,0.0
169,NonResidential,Warehouse,98103.0,8033700250,4,LAKE UNION,47.65097,-122.34227,1.0,3,75397,Non-Refrigerated Warehouse,91.0,549181.375,9.63,25,0.10824038091701262,0.0,0.0,0.0
170,NonResidential,Hospital,98104.0,8590900220,3,EAST,47.60399,-122.32377,9.0,8,1158691,Hospital (General Medical & Surgical),29.0,293090784.0,10734.57,16,0.0,0.0,0.0,0.0
171,NonResidential,Senior Care Community,98104.0,8592900105,2,DOWNTOWN,47.59626,-122.3218,1.0,5,102796,Senior Care Community,,10105379.0,193.94,17,0.12267987081209386,0.5605441210780983,0.40668080055994565,0.03277507836195616
174,NonResidential,K-12 School,98105.0,8816400900,4,NORTHEAST,47.66568,-122.31368,1.0,2,55653,K-12 School,98.0,1377627.0,72.88,88,0.0,0.0,0.0,0.0
175,NonResidential,Hotel,98105.0,8817400055,4,NORTHEAST,47.66151,-122.31457,1.0,16,106860,Hotel,49.0,11935719.0,469.57,85,0.0,0.0,0.0,0.0
176,NonResidential,Small- and Mid-Sized Office,98125.0,8822900465,5,NORTH,47.71895,-122.29475,1.0,5,50759,Office,62.0,3147042.0,49.09,44,0.0,0.0,0.0,0.0
177,NonResidential,Worship Facility,98105.0,8823902255,4,NORTHEAST,47.66182,-122.31113,1.0,2,56772,Worship Facility,46.0,2439484.75,84.57,64,0.0,0.0,0.0,0.0
